id,zh,en
KEY_START_GAME,开始游戏,Start Game
KEY_LOAD_GAME,读取存档,Load Game
KEY_SETTINGS,设置,Settings
KEY_STORY_MODE,剧情模式,Story Mode
KEY_EDITOR,剧情编辑器 (UGC),Story Editor (UGC)
KEY_MOD_EDITOR,扩展包编辑器 (MOD),Extension Editor (MOD)
KEY_EXIT,退出,Exit
KEY_LOADING,加载中...,Loading...
KEY_GAME_TITLE,赛马娘 剧情存档 (Uma Archive),Uma Archive
KEY_TAP_TO_START,点击屏幕继续,Tap to Start
KEY_EDITOR_TITLE,剧情编辑器,Story Editor
KEY_MOD_EDITOR_TITLE,扩展包编辑器,Extension Editor
KEY_BTN_NEW_PROJECT,新建扩展项目,New Project
KEY_BTN_OPEN_PROJECT,打开扩展项目,Open Project
KEY_BTN_CREATE_CHARACTERS,创建角色声明 (JSON),Create Characters (JSON)
KEY_BTN_EXPORT_PACKAGE,打包导出 (.umaext),Export Package
KEY_ADD_DIALOGUE_NODE,添加对话节点,Add Dialogue Node
KEY_ADD_NARRATIVE_NODE,添加叙述节点,Add Narrative Node
KEY_ADD_CHOICE_NODE,添加分支选项,Add Choice Node
KEY_ADD_BRANCH_NODE,添加条件分支,Add Condition Branch
KEY_ADD_AUDIO_NODE,添加音频/背景音乐,Add Audio/BGM Node
KEY_SAVE_PROJECT,保存项目,Save Project
KEY_LOAD_PROJECT,读取项目,Load Project
KEY_RETURN_TO_MENU,返回菜单,Return to Menu
KEY_NODE_SETTINGS,设置,Settings
KEY_NODE_DELETE,删除,Delete
KEY_NODE_ACTOR,角色,Actor
KEY_NODE_NARRATIVE,叙述,Narrative
KEY_NODE_AUDIO,音频/背景音乐,Audio/BGM
KEY_NODE_CHOICE,选项,Choice
KEY_NODE_BRANCH,分支,Branch
KEY_PLACEHOLDER_DIALOGUE,对话内容...,Dialogue...
KEY_PLACEHOLDER_NARRATIVE,叙述文本...,Narrative text...
KEY_LABEL_EMOTION,表情：,Emotion:
KEY_LABEL_VOICE_SYNC,语音同步：,Voice Sync:
KEY_LABEL_BG_ID,背景 ID：,Background ID:
KEY_LABEL_VOLUME,音量：,Vol:
KEY_BTN_PLAY_PREVIEW,▶ 播放预览,▶ Play Preview
KEY_NODE_ACTOR,角色对话,Character Dialogue
KEY_NODE_SPRITE,立绘控制,Sprite Control
KEY_NODE_BRANCH,条件分支,Condition Branch
KEY_NODE_CHOICE,选项分支,Choice Branch
KEY_NODE_AUDIO,音频控制,Audio Control
KEY_NODE_BACKGROUND,背景控制,Background Control
KEY_NODE_START,开始,Start
KEY_NODE_END,结束,End
KEY_LABEL_CHAR_SELECT,选择角色:,Select Character:
KEY_LABEL_ACTION_TYPE,操作类型:,Action Type:
KEY_LABEL_EXPRESSION,表情/差分:,Expression:
KEY_LABEL_POSITION,位置:,Position:
KEY_LABEL_SILHOUETTE,开启剪影,Silhouette
KEY_ACTION_SHOW,显示立绘,Show
KEY_ACTION_CHANGE,切换状态,Change
KEY_ACTION_HIDE,隐藏立绘,Hide
KEY_POS_LEFT,左,Left
KEY_POS_CENTER,中,Center
KEY_POS_RIGHT,右,Right
KEY_LABEL_VAR_ID,变量 ID:,Var ID:
KEY_LABEL_COMP_VALUE,对比值:,Comp Value:
KEY_LABEL_TRUE,满足条件 (True),True
KEY_LABEL_FALSE,不满足条件 (False),False
KEY_LABEL_ADD_OPTION,+ 添加新选项,+ Add Option
KEY_PLACEHOLDER_VAR_ID,变量 ID (如 gold_count),Var ID (e.g. gold_count)
KEY_PLACEHOLDER_COMP_VALUE,对比值 (判定 >=),Value (Check >=)
KEY_PLACEHOLDER_CHOICE,请输入选项文字...,Input option text...
KEY_PLACEHOLDER_NARRATIVE,叙述文本...,Narrative text...
KEY_LABEL_BG_SELECT,选择背景:,Select Background:
KEY_LABEL_TRANSITION,过渡效果:,Transition:
KEY_TRANS_FADE,渐变 (Fade),Fade
KEY_TRANS_CUT,切场 (Cut),Cut
KEY_TRANS_SLIDE,滑入 (Slide),Slide
KEY_START_INFO,剧情起点,Story Start
KEY_END_TITLE,返回标题,Back to Title
KEY_END_NEXT,下一章节,Next Chapter
KEY_END_CUSTOM,自定义场景,Custom Scene
KEY_PLACEHOLDER_SCENE,res://scenes/...,res://scenes/...
KEY_BEHAVIOR_EDITOR_TITLE,行为逻辑编辑 (behavior.json),Behavior Logic Editor (behavior.json)
KEY_BTN_ADD_RULE,添加规则,Add Rule
KEY_BTN_SAVE_BEHAVIOR,保存行为包,Save Behavior Pack
KEY_LABEL_HOOK,钩子 (Hook):,Hook:
KEY_LABEL_CONDITIONS,判定条件:,Conditions:
KEY_BTN_DELETE_RULE,删除规则,Delete Rule
KEY_LABEL_PATH,文件路径:,File Path:
